id;name;description;simbol
1;architectures Frozen Virginia;wireless Soft primary;SAS bluetooth JBOD
2;Ville Small Metal Shoes;program ADP;optical
3;Communications;Administrator;Borders Officer
4;compressing Home Loan Account;integrate Orchestrator;Personal Loan Account
5;policy Engineer Program;Massachusetts Money Market Account;Burgs
6;Identity navigating;neural;Investor
7;Home Loan Account;6th generation;Dynamic
8;JSON online turquoise;Computers;azure
9;Personal Loan Account;wireless;Reactive secured line
10;Incredible Steel Bike Future Shoes;Clothing haptic;Representative Squares
